name;params;count
html_entity_decode;1;1
htmlspecialchars_decode;1;1
strtoupper;1;1
str_repeat;2;4
key;1;1
strpos;2;4
implode;1;2
gettype;1;1
array_filter;2;1
htmlentities;1;5
scandir;1;4
dirname;1;4
addslashes;1;2
trim;2;1
array_slice;2;1
urlencode;1;4
strip_tags;1;3
min;0;1
preg_split;2;1
htmlspecialchars;1;4
array_merge;0;2
ucfirst;1;1
md5;1;1
json_encode;1;4
urldecode;1;2
strtolower;1;14
json_decode;1;3
method_exists;2;8
array_shift;1;7
class_exists;1;4
preg_match;5;3
max;0;8
end;1;3
preg_match;3;10
preg_replace;3;11
count;1;29
preg_match;2;4
is_null;1;8
implode;2;19
str_replace;3;6
substr;2;17
strlen;1;63
substr;3;55
trim;1;9
array_pop;1;23
explode;2;20
get_class;1;4
